第:444回合,loss:51.841816
第:445回合,loss:51.749676
第:446回合,loss:51.868202
第:447回合,loss:52.16307
第:448回合,loss:52.348274
第:449回合,loss:51.752197
第:450回合,loss:51.6168
第:451回合,loss:51.5958
第:452回合,loss:51.591053
第:453回合,loss:51.602757
第:454回合,loss:51.6019
第:455回合,loss:51.60107
第:456回合,loss:51.60292
第:457回合,loss:51.614872
第:458回合,loss:51.656456
第:459回合,loss:51.67044
第:460回合,loss:51.645596
第:461回合,loss:51.527264
第:462回合,loss:51.888947
第:463回合,loss:51.788284
第:464回合,loss:51.47022
第:465回合,loss:51.591896
第:466回合,loss:51.501076
第:467回合,loss:51.54322
第:468回合,loss:51.523
第:469回合,loss:51.513046
第:470回合,loss:51.505554
第:471回合,loss:51.53583
第:472回合,loss:51.677063
第:473回合,loss:51.65374
第:474回合,loss:51.77892
第:475回合,loss:51.980354
第:476回合,loss:52.11485
第:477回合,loss:51.400215
第:478回合,loss:51.446426
第:479回合,loss:51.42333
第:480回合,loss:51.449238
第:481回合,loss:51.453304
第:482回合,loss:51.449802
第:483回合,loss:51.43973
第:484回合,loss:51.43217
第:485回合,loss:51.42512
第:486回合,loss:51.428547
第:487回合,loss:51.525528
第:488回合,loss:51.627403
第:489回合,loss:51.727837
第:490回合,loss:51.8247
第:491回合,loss:51.825825
第:492回合,loss:51.30853
第:493回合,loss:51.357452
第:494回合,loss:51.357464
第:495回合,loss:51.348934
第:496回合,loss:51.357876
第:497回合,loss:51.35841
第:498回合,loss:51.355106
第:499回合,loss:51.382755
第:500回合,loss:51.431843
第:501回合,loss:51.624477
第:502回合,loss:51.483368
第:503回合,loss:51.66949
第:504回合,loss:51.872185
第:505回合,loss:52.22793
第:506回合,loss:51.28324
第:507回合,loss:51.298252
第:508回合,loss:51.24038
第:509回合,loss:51.287415
第:510回合,loss:51.272835
第:511回合,loss:51.28564
第:512回合,loss:51.325382
第:513回合,loss:51.326824
第:514回合,loss:51.3775
第:515回合,loss:51.600315
第:516回合,loss:51.311832
第:517回合,loss:51.224003
第:518回合,loss:51.241894
第:519回合,loss:51.404186
第:520回合,loss:51.471867
第:521回合,loss:51.609917
第:522回合,loss:51.790123
第:523回合,loss:51.45042
第:524回合,loss:51.16302
第:525回合,loss:51.188793
第:526回合,loss:51.25531
第:527回合,loss:51.386566
第:528回合,loss:51.267204
第:529回合,loss:51.3192
第:530回合,loss:51.283337
第:531回合,loss:51.474396
第:532回合,loss:51.233303
第:533回合,loss:51.149197
第:534回合,loss:51.220753
